AT1G01240	chr1_99394_99893
AT4G30780	chr4_14989841_14990340
AT4G30810	chr4_15002951_15003450
AT4G30850	chr4_15022446_15022945
AT4G30890	chr4_15039282_15039781
AT4G30900	chr4_15038932_15039431
AT4G31070	chr4_15120538_15121037
AT4G31080	chr4_15120388_15120887
AT4G31100	chr4_15123281_15123780
AT4G31115	chr4_15129575_15130074
AT4G31310	chr4_15190825_15191324
AT4G31360	chr4_15221343_15221842
AT4G31750	chr4_15367717_15368216
AT4G31850	chr4_15402520_15403019
AT4G32160	chr4_15528305_15528804
AT4G32272	chr4_15579881_15580380
AT4G32290	chr4_15591165_15591664
AT4G32295	chr4_15592393_15592892
AT4G32400	chr4_15638125_15638624
AT4G32520	chr4_15692858_15693357
AT4G32530	chr4_15695101_15695600
AT4G32620	chr4_15731008_15731507
AT4G32760	chr4_15798577_15799076
AT4G32790	chr4_15811595_15812094
AT4G32920	chr4_15896007_15896506
AT4G33080	chr4_15959462_15959961
AT4G33220	chr4_16021939_16022438
AT4G33240	chr4_16038068_16038567
AT4G33330	chr4_16063071_16063570
AT4G33520	chr4_16118396_16118895
AT4G33530	chr4_16130460_16130959
AT4G33540	chr4_16130324_16130823
AT4G33890	chr4_16249143_16249642
AT4G33945	chr4_16267550_16268049
AT4G33980	chr4_16285060_16285559
AT4G34138	chr4_16349983_16350482
AT4G34240	chr4_16389120_16389619
AT4G34480	chr4_16483996_16484495
AT4G34490	chr4_16487418_16487917
AT4G34530	chr4_16497891_16498390
AT4G34540	chr4_16497891_16498390
AT4G34860	chr4_16612908_16613407
AT4G35110	chr4_16714954_16715453
AT4G35140	chr4_16726637_16727136
AT4G35260	chr4_16776326_16776825
AT4G35580	chr4_16890878_16891377
AT4G35783	chr4_16951906_16952405
AT4G35850	chr4_16983025_16983524
AT4G36010	chr4_17041142_17041641
AT4G36032	chr4_17044592_17045091
AT4G36050	chr4_17055060_17055559
AT4G36060	chr4_17054821_17055320
AT4G36720	chr4_17307269_17307768
AT4G36740	chr4_17316375_17316874
AT4G36780	chr4_17334350_17334849
AT4G36890	chr4_17381781_17382280
AT4G36910	chr4_17393340_17393839
AT4G36930	chr4_17413627_17414126
AT4G36960	chr4_17426421_17426920
AT4G36980	chr4_17437070_17437569
AT4G37220	chr4_17514580_17515079
AT4G37340	chr4_17566788_17567287
AT4G37370	chr4_17571705_17572204
AT4G37390	chr4_17579157_17579656
AT4G37460	chr4_17615777_17616276
AT4G37480	chr4_17618761_17619260
AT4G37510	chr4_17628948_17629447
AT4G37880	chr4_17809181_17809680
AT4G37895	chr4_17813045_17813544
AT4G38060	chr4_17874805_17875304
AT4G38220	chr4_17924680_17925179
AT4G38270	chr4_17937872_17938371
AT4G38430	chr4_17985966_17986465
AT4G38670	chr4_18071356_18071855
AT4G38950	chr4_18159937_18160436
AT4G39030	chr4_18185167_18185666
AT4G39460	chr4_18358981_18359480
AT4G39630	chr4_18399388_18399887
AT4G39640	chr4_18399455_18399954
AT4G39770	chr4_18451294_18451793
AT4G39990	chr4_18542051_18542550
AT4G40000	chr4_18547524_18548023
AT4G40010	chr4_18551057_18551556
AT5G01070	chr5_25800_26299
AT5G01075	chr5_27450_27949
AT5G01170	chr5_57662_58161
AT5G01200	chr5_76616_77115
AT5G01260	chr5_104825_105324
AT5G01270	chr5_112312_112811
AT5G01310	chr5_124804_125303
AT5G01520	chr5_205932_206431
AT5G01570	chr5_220867_221366
AT5G01810	chr5_308934_309433
AT5G01850	chr5_331837_332336
AT5G01881	chr5_339338_339837
AT5G02100	chr5_413020_413519
AT5G02200	chr5_436960_437459
AT5G02280	chr5_468798_469297
AT5G02430	chr5_526092_526591
AT5G02570	chr5_577141_577640
AT5G02810	chr5_641978_642477
AT5G02820	chr5_642058_642557
AT5G02860	chr5_653602_654101
AT5G02880	chr5_661564_662063
AT5G02950	chr5_690282_690781
AT5G03070	chr5_721540_722039
AT5G03080	chr5_721367_721866
AT5G03140	chr5_740017_740516
AT5G03150	chr5_745144_745643
AT5G03160	chr5_749609_750108
AT5G03190	chr5_757874_758373
AT5G03285	chr5_793014_793513
AT5G03470	chr5_865949_866448
AT5G03770	chr5_994660_995159
AT5G04000	chr5_1079870_1080369
AT5G04070	chr5_1101590_1102089
AT5G04090	chr5_1108267_1108766
AT5G04250	chr5_1175505_1176004
AT5G04280	chr5_1191774_1192273
AT5G04340	chr5_1217107_1217606
AT5G04370	chr5_1231197_1231696
AT5G04460	chr5_1259031_1259530
AT5G04610	chr5_1326929_1327428
AT5G04620	chr5_1326615_1327114
AT5G04885	chr5_1422299_1422798
AT5G04900	chr5_1434274_1434773
AT5G04920	chr5_1441984_1442483
AT5G05210	chr5_1546923_1547422
AT5G05250	chr5_1557999_1558498
AT5G05270	chr5_1562820_1563319
AT5G05330	chr5_1578755_1579254
AT5G05380	chr5_1591630_1592129
AT5G05480	chr5_1624271_1624770
AT5G05660	chr5_1695468_1695967
AT5G05850	chr5_1764679_1765178
AT5G05965	chr5_1792635_1793134
AT5G05980	chr5_1804493_1804992
AT5G05987	chr5_1804304_1804803
AT5G06090	chr5_1834606_1835105
AT5G06710	chr5_2070362_2070861
AT5G06760	chr5_2090431_2090930
AT5G06820	chr5_2112369_2112868
AT5G07250	chr5_2275991_2276490
AT5G07270	chr5_2280167_2280666
AT5G07280	chr5_2284540_2285039
AT5G07300	chr5_2299387_2299886
AT5G07320	chr5_2309411_2309910
AT5G07370	chr5_2329885_2330384
AT5G07590	chr5_2403878_2404377
AT5G07730	chr5_2458431_2458930
AT5G07810	chr5_2498485_2498984
AT5G07860	chr5_2510942_2511441
AT5G07870	chr5_2513294_2513793
AT5G07920	chr5_2529331_2529830
AT5G08080	chr5_2587842_2588341
AT5G08110	chr5_2600115_2600614
AT5G08260	chr5_2656651_2657150
AT5G08430	chr5_2716200_2716699
AT5G08510	chr5_2752599_2753098
AT5G08570	chr5_2777500_2777999
AT5G08580	chr5_2783067_2783566
AT5G08790	chr5_2860263_2860762
AT5G09440	chr5_2937847_2938346
AT5G09620	chr5_2985436_2985935
AT5G09970	chr5_3111445_3111944
AT5G09995	chr5_3126379_3126878
AT5G10070	chr5_3150435_3150934
AT5G10080	chr5_3150343_3150842
AT5G10140	chr5_3179449_3179948
AT5G10190	chr5_3198633_3199132
AT5G10300	chr5_3239117_3239616
AT5G10330	chr5_3250139_3250638
AT5G10740	chr5_3396201_3396700
AT5G10745	chr5_3395975_3396474
AT5G10750	chr5_3398451_3398950
AT5G10870	chr5_3432463_3432962
AT5G10950	chr5_3461735_3462234
AT5G11010	chr5_3483204_3483703
AT5G11060	chr5_3509618_3510117
AT5G11090	chr5_3524180_3524679
AT5G11510	chr5_3679308_3679807
AT5G11530	chr5_3695362_3695861
AT5G11620	chr5_3740147_3740646
AT5G11630	chr5_3739960_3740459
AT5G11700	chr5_3771417_3771916
AT5G11890	chr5_3831164_3831663
AT5G12840	chr5_4053607_4054106
AT5G12950	chr5_4092453_4092952
AT5G12980	chr5_4108185_4108684
AT5G13100	chr5_4156160_4156659
AT5G13240	chr5_4227614_4228113
AT5G13400	chr5_4299224_4299723
AT5G13480	chr5_4331972_4332471
AT5G13730	chr5_4430838_4431337
AT5G13740	chr5_4431806_4432305
AT5G13760	chr5_4441514_4442013
AT5G13820	chr5_4460394_4460893
AT5G13880	chr5_4478110_4478609
AT5G14370	chr5_4633714_4634213
AT5G14500	chr5_4676766_4677265
AT5G14550	chr5_4694056_4694555
AT5G14620	chr5_4718705_4719204
AT5G14640	chr5_4722280_4722779
AT5G14710	chr5_4745832_4746331
AT5G14750	chr5_4764739_4765238
AT5G15160	chr5_4922649_4923148
AT5G15170	chr5_4929503_4930002
AT5G15190	chr5_4933578_4934077
AT5G15265	chr5_4956001_4956500
AT5G15570	chr5_5065875_5066374
AT5G15600	chr5_5077700_5078199
AT5G15830	chr5_5168043_5168542
AT5G15840	chr5_5172759_5173258
AT5G15910	chr5_5192611_5193110
AT5G16060	chr5_5245620_5246119
AT5G16140	chr5_5271922_5272421
AT5G16200	chr5_5290203_5290702
AT5G16210	chr5_5297975_5298474
AT5G16340	chr5_5350908_5351407
AT5G16390	chr5_5363127_5363626
AT5G16410	chr5_5367386_5367885
AT5G16420	chr5_5367534_5368033
AT5G16505	chr5_5389506_5390005
AT5G16750	chr5_5509344_5509843
AT5G16760	chr5_5509174_5509673
AT5G16800	chr5_5526590_5527089
AT5G16990	chr5_5584030_5584529
AT5G17190	chr5_5651718_5652217
AT5G17240	chr5_5666352_5666851
AT5G17300	chr5_5692903_5693402
AT5G17460	chr5_5759796_5760295
AT5G17523	chr5_5777328_5777827
AT5G17530	chr5_5777095_5777594
AT5G17650	chr5_5818348_5818847
AT5G17860	chr5_5904381_5904880
AT5G18170	chr5_6005539_6006038
AT5G18190	chr5_6014690_6015189
AT5G18200	chr5_6014725_6015224
AT5G18920	chr5_6309564_6310063
AT5G19040	chr5_6363414_6363913
AT5G19060	chr5_6372299_6372798
AT5G19100	chr5_6409418_6409917
AT5G19520	chr5_6584921_6585420
AT5G19875	chr5_6717841_6718340
AT5G20070	chr5_6779354_6779853
AT5G21930	chr5_7242502_7243001
AT5G21990	chr5_7272669_7273168
AT5G22000	chr5_7276683_7277182
AT5G22320	chr5_7390521_7391020
AT5G22580	chr5_7502174_7502673
AT5G22608	chr5_7512673_7513172
AT5G22730	chr5_7553453_7553952
AT5G23050	chr5_7735440_7735939
AT5G24070	chr5_8135992_8136491
AT5G24300	chr5_8266290_8266789
AT5G24420	chr5_8338009_8338508
AT5G24610	chr5_8427578_8428077
AT5G24710	chr5_8468174_8468673
AT5G24830	chr5_8530478_8530977
AT5G24850	chr5_8538108_8538607
AT5G24970	chr5_8608843_8609342
AT5G24980	chr5_8608581_8609080
AT5G25100	chr5_8651177_8651676
AT5G25240	chr5_8747198_8747697
AT5G25270	chr5_8762758_8763257
AT5G25790	chr5_8979260_8979759
AT5G26200	chr5_9156642_9157141
AT5G26600	chr5_9376902_9377401
AT5G26680	chr5_9315476_9315975
AT5G27420	chr5_9683572_9684071
AT5G27520	chr5_9716355_9716854
AT5G27610	chr5_9763635_9764134
AT5G27670	chr5_9793457_9793956
AT5G27730	chr5_9819749_9820248
AT5G27920	chr5_9944779_9945278
AT5G27970	chr5_10004220_10004719
AT5G28310	chr5_10301845_10302344
AT5G28640	chr5_10649893_10650392
AT5G29000	chr5_11024961_11025460
AT5G35520	chr5_13700896_13701395
AT5G36920	chr5_14564972_14565471
AT5G37055	chr5_14642441_14642940
AT5G37070	chr5_14650512_14651011
AT5G37340	chr5_14792773_14793272
AT5G37350	chr5_14792484_14792983
AT5G37940	chr5_15106796_15107295
AT5G38470	chr5_15404142_15404641
AT5G38590	chr5_15453898_15454397
AT5G39240	chr5_15713004_15713503
AT5G39520	chr5_15825493_15825992
AT5G39660	chr5_15878199_15878698
AT5G39790	chr5_15935262_15935761
AT5G39800	chr5_15934964_15935463
AT5G40250	chr5_16085264_16085763
AT5G40340	chr5_16134917_16135416
AT5G40600	chr5_16256830_16257329
AT5G40650	chr5_16280904_16281403
AT5G40910	chr5_16395007_16395506
AT5G41100	chr5_16446722_16447221
AT5G41110	chr5_16450970_16451469
AT5G41170	chr5_16480585_16481084
AT5G41620	chr5_16645830_16646329
AT5G41810	chr5_16737562_16738061
AT5G42092	chr5_16827584_16828083
AT5G42440	chr5_16974575_16975074
AT5G42800	chr5_17165919_17166418
AT5G42810	chr5_17166318_17166817
AT5G42900	chr5_17199794_17200293
AT5G42950	chr5_17223936_17224435
AT5G42960	chr5_17234592_17235091
AT5G42990	chr5_17245989_17246488
AT5G43020	chr5_17257743_17258242
AT5G43100	chr5_17298623_17299122
AT5G43630	chr5_17526251_17526750
AT5G43810	chr5_17610472_17610971
AT5G43870	chr5_17635913_17636412
AT5G44080	chr5_17739874_17740373
AT5G44280	chr5_17839255_17839754
AT5G44800	chr5_18093453_18093952
AT5G45200	chr5_18290333_18290832
AT5G45340	chr5_18370992_18371491
AT5G45472	chr5_18421868_18422367
AT5G46410	chr5_18824603_18825102
AT5G46420	chr5_18829455_18829954
AT5G46870	chr5_19014733_19015232
AT5G47000	chr5_19070334_19070833
AT5G47090	chr5_19126759_19127258
AT5G47100	chr5_19132284_19132783
AT5G47240	chr5_19183101_19183600
AT5G47420	chr5_19232336_19232835
AT5G47530	chr5_19280874_19281373
AT5G47550	chr5_19286996_19287495
AT5G47640	chr5_19308727_19309226
AT5G47920	chr5_19404089_19404588
AT5G48385	chr5_19608060_19608559
AT5G48470	chr5_19641244_19641743
AT5G48540	chr5_19669921_19670420
AT5G48610	chr5_19711042_19711541
AT5G48650	chr5_19726233_19726732
AT5G48655	chr5_19733044_19733543
AT5G48775	chr5_19773670_19774169
AT5G49100	chr5_19899115_19899614
AT5G49120	chr5_19909400_19909899
AT5G49230	chr5_19960545_19961044
AT5G49320	chr5_19996315_19996814
AT5G49550	chr5_20107192_20107691
AT5G49560	chr5_20111786_20112285
AT5G49730	chr5_20204514_20205013
AT5G49740	chr5_20208731_20209230
AT5G49820	chr5_20249546_20250045
AT5G50100	chr5_20371353_20371852
AT5G50230	chr5_20450882_20451381
AT5G50240	chr5_20450728_20451227
AT5G50300	chr5_20468125_20468624
AT5G50335	chr5_20489728_20490227
AT5G50840	chr5_20685320_20685819
AT5G50970	chr5_20735837_20736336
AT5G51020	chr5_20747278_20747777
AT5G51460	chr5_20900477_20900976
AT5G51540	chr5_20931531_20932030
AT5G51690	chr5_21001047_21001546
AT5G51740	chr5_21016527_21017026
AT5G51790	chr5_21039262_21039761
AT5G51840	chr5_21071444_21071943
AT5G52070	chr5_21160811_21161310
AT5G52200	chr5_21204760_21205259
AT5G52210	chr5_21204491_21204990
AT5G52420	chr5_21281273_21281772
AT5G52510	chr5_21306549_21307048
AT5G52550	chr5_21330137_21330636
AT5G52560	chr5_21330139_21330638
AT5G52800	chr5_21395444_21395943
AT5G52820	chr5_21400849_21401348
AT5G52980	chr5_21483723_21484222
AT5G52990	chr5_21483428_21483927
AT5G53030	chr5_21504574_21505073
AT5G53050	chr5_21513577_21514076
AT5G53220	chr5_21595490_21595989
AT5G53280	chr5_21607007_21607506
AT5G53290	chr5_21619268_21619767
AT5G53380	chr5_21654101_21654600
AT5G53570	chr5_21763463_21763962
AT5G53902	chr5_21887466_21887965
AT5G54110	chr5_21957714_21958213
AT5G54165	chr5_21984069_21984568
AT5G54300	chr5_22055431_22055930
AT5G54520	chr5_22149121_22149620
AT5G54569	chr5_22166849_22167348
AT5G54930	chr5_22307565_22308064
AT5G54960	chr5_22312762_22313261
AT5G54970	chr5_22312710_22313209
AT5G55180	chr5_22388282_22388781
AT5G55390	chr5_22454803_22455302
AT5G55470	chr5_22472707_22473206
AT5G55520	chr5_22491267_22491766
AT5G55640	chr5_22534118_22534617
AT5G55670	chr5_22546802_22547301
AT5G55740	chr5_22564434_22564933
AT5G55830	chr5_22594155_22594654
AT5G55840	chr5_22597538_22598037
AT5G55860	chr5_22609032_22609531
AT5G55896	chr5_22633343_22633842
AT5G55950	chr5_22660435_22660934
AT5G55960	chr5_22662076_22662575
AT5G56180	chr5_22741032_22741531
AT5G56190	chr5_22741505_22742004
AT5G56210	chr5_22752733_22753232
AT5G56270	chr5_22779193_22779692
AT5G56500	chr5_22873291_22873790
AT5G56600	chr5_22910822_22911321
AT5G56980	chr5_23057743_23058242
AT5G56990	chr5_23062312_23062811
AT5G57015	chr5_23070597_23071096
AT5G57410	chr5_23267884_23268383
AT5G57610	chr5_23324291_23324790
AT5G57900	chr5_23450934_23451433
AT5G58160	chr5_23533201_23533700
AT5G58320	chr5_23576939_23577438
AT5G58350	chr5_23584289_23584788
AT5G58440	chr5_23626788_23627287
AT5G58600	chr5_23685726_23686225
AT5G58650	chr5_23700227_23700726
AT5G58760	chr5_23733699_23734198
AT5G58784	chr5_23741280_23741779
AT5G58930	chr5_23796462_23796961
AT5G58970	chr5_23811259_23811758
AT5G59080	chr5_23848558_23849057
AT5G59220	chr5_23896620_23897119
AT5G59430	chr5_23966813_23967312
AT5G59550	chr5_23999794_24000293
AT5G59570	chr5_24003388_24003887
AT5G59590	chr5_24010650_24011149
AT5G59840	chr5_24109252_24109751
AT5G59900	chr5_24126707_24127206
AT5G59960	chr5_24145334_24145833
AT5G60410	chr5_24294390_24294889
AT5G60590	chr5_24356521_24357020
AT5G60890	chr5_24494191_24494690
AT5G60930	chr5_24522512_24523011
AT5G60940	chr5_24522478_24522977
AT5G61530	chr5_24741548_24742047
AT5G61830	chr5_24836657_24837156
AT5G61920	chr5_24863802_24864301
AT5G61930	chr5_24867822_24868321
AT5G62090	chr5_24939110_24939609
AT5G62390	chr5_25054290_25054789
AT5G62480	chr5_25089621_25090120
AT5G62500	chr5_25092141_25092640
AT5G62710	chr5_25186803_25187302
AT5G62990	chr5_25276938_25277437
AT5G63180	chr5_25343120_25343619
AT5G63320	chr5_25379298_25379797
AT5G63380	chr5_25390064_25390563
AT5G63500	chr5_25422907_25423406
AT5G63620	chr5_25468434_25468933
AT5G63640	chr5_25477178_25477677
AT5G63650	chr5_25483720_25484219
AT5G63680	chr5_25489573_25490072
AT5G63700	chr5_25497633_25498132
AT5G63790	chr5_25528014_25528513
AT5G63970	chr5_25609248_25609747
AT5G63980	chr5_25609312_25609811
AT5G64050	chr5_25633210_25633709
AT5G64180	chr5_25676580_25677079
AT5G64220	chr5_25685708_25686207
AT5G64430	chr5_25764155_25764654
AT5G64810	chr5_25907913_25908412
AT5G64860	chr5_25928849_25929348
AT5G64870	chr5_25931385_25931884
AT5G64880	chr5_25931790_25932289
AT5G65090	chr5_26003517_26004016
AT5G65140	chr5_26022223_26022722
AT5G65230	chr5_26067790_26068289
AT5G65280	chr5_26088154_26088653
AT5G65300	chr5_26095772_26096271
AT5G65630	chr5_26228450_26228949
AT5G65840	chr5_26346083_26346582
AT5G65920	chr5_26365999_26366498
AT5G65940	chr5_26379236_26379735
AT5G66050	chr5_26414537_26415036
AT5G66080	chr5_26425407_26425906
AT5G66090	chr5_26425236_26425735
AT5G66110	chr5_26429702_26430201
AT5G66120	chr5_26433779_26434278
AT5G66130	chr5_26433564_26434063
AT5G66350	chr5_26506570_26507069
AT5G66460	chr5_26541037_26541536
AT5G66580	chr5_26572131_26572630
AT5G66590	chr5_26573681_26574180
AT5G66610	chr5_26584274_26584773
AT5G66620	chr5_26588085_26588584
AT5G66770	chr5_26660100_26660599
AT5G66800	chr5_26670923_26671422
AT5G66880	chr5_26710055_26710554
AT5G67140	chr5_26795304_26795803
AT5G67160	chr5_26799042_26799541
AT5G67200	chr5_26816567_26817066
AT5G67220	chr5_26821965_26822464
AT5G67230	chr5_26821978_26822477
AT5G67250	chr5_26833334_26833833
AT5G67460	chr5_26923275_26923774
